GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository RDF Transformations Module,org.fcrepo.transform,TransformationFactory,14,38,1,1,1,8,1,2,0,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform,TransformNotFoundException,4,0,0,0,2,0,1,0,1,0
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,TransformNotFoundExceptionMapper,9,3,0,0,2,1,1,1,1,1
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http,FedoraTransform,21,158,1,3,6,30,3,11,2,10
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,LDPathTransform,46,161,5,5,9,29,6,11,3,9
Fedora Repository RDF Transformations Module,org.fcrepo.transform.transformations,SparqlQueryTransform,24,20,4,0,4,7,4,2,2,2
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http.responses,ResultSetStreamingOutput,43,103,20,26,8,17,18,18,1,4
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http.responses,JsonObjectProvider,0,33,0,0,0,10,0,4,0,4
Fedora Repository RDF Transformations Module,org.fcrepo.transform.http.responses,QueryExecutionProvider,60,11,8,0,13,3,7,2,3,2
